Spot,Price,Delta,Gamma,Theta,Rho,Vega
25.000000,22.562670,-0.999079,0.000622,-2.369444,-47.539744,0.077737
25.500000,22.063214,-0.998718,0.000826,-2.366040,-47.530646,0.107430
26.000000,21.563966,-0.998242,0.001081,-2.361583,-47.518419,0.146136
26.500000,21.064990,-0.997624,0.001395,-2.355834,-47.502233,0.195821
27.000000,20.566363,-0.996832,0.001775,-2.348528,-47.481110,0.258671
27.500000,20.068182,-0.995832,0.002229,-2.339367,-47.453916,0.337073
28.000000,19.570559,-0.994585,0.002766,-2.328034,-47.419354,0.433577
28.500000,19.073630,-0.993046,0.003391,-2.314186,-47.375968,0.550855
29.000000,18.577551,-0.991171,0.004112,-2.297471,-47.322138,0.691644
29.500000,18.082502,-0.988910,0.004934,-2.277523,-47.256096,0.858687
30.000000,17.588688,-0.986212,0.005859,-2.253980,-47.175934,1.054660
30.500000,17.096342,-0.983025,0.006891,-2.226485,-47.079622,1.282097
31.000000,16.605721,-0.979294,0.008030,-2.194701,-46.965032,1.543313
31.500000,16.117109,-0.974968,0.009273,-2.158312,-46.829964,1.840328
32.000000,15.630817,-0.969995,0.010619,-2.117041,-46.672177,2.174792
32.500000,15.147182,-0.964324,0.012060,-2.070654,-46.489422,2.547914
33.000000,14.666564,-0.957910,0.013592,-2.018966,-46.279481,2.960406
33.500000,14.189346,-0.950710,0.015203,-1.961851,-46.040200,3.412432
34.000000,13.715930,-0.942687,0.016883,-1.899249,-45.769531,3.903568
34.500000,13.246736,-0.933809,0.018620,-1.831166,-45.465569,4.432780
35.000000,12.782197,-0.924052,0.020401,-1.757679,-45.126587,4.998416
35.500000,12.322760,-0.913397,0.022210,-1.678938,-44.751070,5.598210
36.000000,11.868875,-0.901834,0.024032,-1.595165,-44.337746,6.229300
36.500000,11.420999,-0.889361,0.025852,-1.506651,-43.885613,6.888265
37.000000,10.979585,-0.875983,0.027653,-1.413753,-43.393960,7.571173
37.500000,10.545083,-0.861713,0.029418,-1.316891,-42.862385,8.273634
38.000000,10.117935,-0.846573,0.031133,-1.216537,-42.290806,8.990871
38.500000,9.698569,-0.830593,0.032782,-1.113212,-41.679468,9.717799
39.000000,9.287397,-0.813809,0.034351,-1.007479,-41.028943,10.449100
39.500000,8.884810,-0.796263,0.035827,-0.899928,-40.340127,11.179311
40.000000,8.491179,-0.778006,0.037198,-0.791173,-39.614228,11.902910
40.500000,8.106844,-0.759093,0.038454,-0.681842,-38.852754,12.614398
41.000000,7.732120,-0.739583,0.039585,-0.572562,-38.057492,13.308387
41.500000,7.367289,-0.719542,0.040585,-0.463960,-37.230484,13.979670
42.000000,7.012602,-0.699034,0.041448,-0.356644,-36.374006,14.623300
42.500000,6.668274,-0.678132,0.042169,-0.251204,-35.490533,15.234648
43.000000,6.334486,-0.656904,0.042748,-0.148198,-34.582710,15.809463
43.500000,6.011381,-0.635424,0.043182,-0.048149,-33.653321,16.343919
44.000000,5.699069,-0.613763,0.043474,0.048458,-32.705250,16.834647
44.500000,5.397623,-0.591991,0.043625,0.141189,-31.741454,17.278768
45.000000,5.107080,-0.570178,0.043640,0.229653,-30.764921,17.673910
45.500000,4.827444,-0.548390,0.043524,0.313515,-29.778640,18.018209
46.000000,4.558687,-0.526693,0.043282,0.392489,-28.785567,18.310315
46.500000,4.300748,-0.505149,0.042924,0.466347,-27.788595,18.549377
47.000000,4.053533,-0.483830,0.042388,0.534833,-26.791679,18.734839
47.500000,3.816913,-0.462788,0.041799,0.597867,-25.797018,18.867019
48.000000,3.590740,-0.442067,0.041102,0.655381,-24.807208,18.946522
48.500000,3.374841,-0.421713,0.040306,0.707334,-23.825060,18.974345
49.000000,3.169023,-0.401763,0.039484,0.753769,-22.851826,18.951558
49.500000,2.973074,-0.382262,0.038536,0.794699,-21.891091,18.880080
50.000000,2.786759,-0.363251,0.037527,0.830221,-20.944968,18.761936
