Spot,Price,Delta,Gamma,Theta,Rho,Vega
25.000000,22.562813,-0.998955,0.000658,-2.368846,-47.537145,0.082432
25.500000,22.063500,-0.998510,0.000890,-2.364827,-47.525865,0.117201
26.000000,21.564187,-0.998065,0.001121,-2.360809,-47.514584,0.151971
26.500000,21.065434,-0.997331,0.001469,-2.354209,-47.495190,0.208588
27.000000,20.566682,-0.996597,0.001816,-2.347609,-47.475795,0.265205
27.500000,20.068837,-0.995443,0.002309,-2.337325,-47.444102,0.352613
28.000000,19.570993,-0.994288,0.002802,-2.327041,-47.412409,0.440020
28.500000,19.074549,-0.992553,0.003470,-2.311777,-47.362982,0.568465
29.000000,18.578105,-0.990818,0.004138,-2.296513,-47.313555,0.696910
29.500000,18.083731,-0.988316,0.005004,-2.274851,-47.239718,0.877204
30.000000,17.589356,-0.985814,0.005869,-2.253190,-47.165881,1.057498
30.500000,17.097916,-0.982342,0.006944,-2.223704,-47.059871,1.300000
31.000000,16.606476,-0.978870,0.008019,-2.194219,-46.953860,1.542502
31.500000,16.119046,-0.974219,0.009303,-2.155605,-46.807129,1.855931
32.000000,15.631616,-0.969568,0.010586,-2.116991,-46.660399,2.169360
32.500000,15.149479,-0.963537,0.012062,-2.068211,-46.464061,2.559594
33.000000,14.667341,-0.957506,0.013538,-2.019431,-46.267723,2.949827
33.500000,14.191973,-0.949919,0.015174,-1.959846,-46.013097,3.418860
34.000000,13.716604,-0.942332,0.016811,-1.900260,-45.758471,3.887893
34.500000,13.249641,-0.933050,0.018563,-1.829731,-45.437677,4.433106
35.000000,12.782678,-0.923769,0.020315,-1.759201,-45.116883,4.978319
35.500000,12.325872,-0.912705,0.022127,-1.678152,-44.723426,5.592172
36.000000,11.869067,-0.901642,0.023940,-1.597104,-44.329969,6.206024
36.500000,11.424231,-0.888767,0.025750,-1.506533,-43.859254,6.876211
37.000000,10.979395,-0.875892,0.027560,-1.415962,-43.388539,7.546398
37.500000,10.548339,-0.861240,0.029303,-1.317398,-42.838264,8.256462
38.000000,10.117283,-0.846589,0.031047,-1.218834,-42.287988,8.966526
38.500000,9.701750,-0.830257,0.032663,-1.114251,-41.658381,9.696839
39.000000,9.286217,-0.813926,0.034278,-1.009669,-41.028773,10.427152
39.500000,8.887824,-0.796071,0.035711,-0.901369,-40.322658,11.156157
40.000000,8.489430,-0.778215,0.037143,-0.793069,-39.616542,11.885162
40.500000,8.109609,-0.759041,0.038348,-0.683533,-38.839238,12.590733
41.000000,7.729787,-0.739867,0.039552,-0.573998,-38.061933,13.296304
41.500000,7.369741,-0.719620,0.040495,-0.465745,-37.220995,13.957091
42.000000,7.009696,-0.699372,0.041439,-0.357493,-36.380057,14.617878
42.500000,6.670370,-0.678322,0.042100,-0.252939,-35.484906,15.214513
43.000000,6.331043,-0.657272,0.042761,-0.148385,-34.589756,15.811147
43.500000,6.013098,-0.635705,0.043134,-0.049717,-33.651219,16.327223
44.000000,5.695152,-0.614138,0.043506,0.048950,-32.712682,16.843298
44.500000,5.398959,-0.592341,0.043594,0.139863,-31.742493,17.266065
45.000000,5.102767,-0.570544,0.043682,0.230776,-30.772304,17.688832
45.500000,4.828415,-0.548794,0.043501,0.312452,-29.782598,18.009591
46.000000,4.554064,-0.527043,0.043320,0.394129,-28.792892,18.330350
46.500000,4.301372,-0.505597,0.042893,0.465505,-27.795731,18.544548
47.000000,4.048681,-0.484150,0.042466,0.536881,-26.798571,18.758747
47.500000,3.817222,-0.463239,0.041822,0.597320,-25.805522,18.865818
48.000000,3.585763,-0.442328,0.041179,0.657758,-24.812474,18.972889
48.500000,3.374894,-0.422151,0.040354,0.707026,-23.834257,18.975880
49.000000,3.164025,-0.401974,0.039528,0.756294,-22.856040,18.978870
49.500000,2.972920,-0.382697,0.038555,0.794523,-21.902259,18.883916
50.000000,2.781815,-0.363419,0.037582,0.832753,-20.948478,18.788962
